2024-10-11 16:47:44.671: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Asterix-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Asterix-v5_2024-10-11-16-47-44
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-11 16:47:44.772: env id: ALE/Asterix-v5 |repeat_action_probability: 0 
2024-10-11 16:47:44.772: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 9
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-11 16:47:45.061: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-11 16:56:47.201: 1 test start:
2024-10-11 16:56:53.864: 1 avg_reward: 328.0
2024-10-11 16:56:53.865: 1 avg_steps: 351.25
2024-10-11 16:56:53.865: 1 epsilon: 0.8198785
2024-10-11 16:56:53.865: 1 q: 0.18931504
2024-10-11 17:07:12.600: 2 test start:
2024-10-11 17:07:19.049: 2 avg_reward: 388.0
2024-10-11 17:07:19.050: 2 avg_steps: 338.05
2024-10-11 17:07:19.050: 2 epsilon: 0.5949793
2024-10-11 17:07:19.050: 2 q: 0.40179735
2024-10-11 17:17:01.500: 3 test start:
2024-10-11 17:17:06.185: 3 avg_reward: 345.5
2024-10-11 17:17:06.186: 3 avg_steps: 243.05
2024-10-11 17:17:06.186: 3 epsilon: 0.369919
2024-10-11 17:17:06.186: 3 q: 0.5650553
2024-10-11 18:04:59.681: 4 test start:
2024-10-11 18:05:04.256: 4 avg_reward: 333.0
2024-10-11 18:05:04.257: 4 avg_steps: 238.4
2024-10-11 18:05:04.257: 4 epsilon: 0.1449360999999999
2024-10-11 18:05:04.266: 4 q: 0.7050306
2024-10-11 18:15:26.271: 5 test start:
2024-10-11 18:15:33.150: 5 avg_reward: 563.0
2024-10-11 18:15:33.150: 5 avg_steps: 356.1
2024-10-11 18:15:33.150: 5 epsilon: 0.1
2024-10-11 18:15:33.150: 5 q: 0.95457476
2024-10-11 18:25:58.605: 6 test start:
2024-10-11 18:26:04.777: 6 avg_reward: 658.0
2024-10-11 18:26:04.777: 6 avg_steps: 327.85
2024-10-11 18:26:04.777: 6 epsilon: 0.1
2024-10-11 18:26:04.778: 6 q: 1.0966135
2024-10-11 18:36:23.774: 7 test start:
2024-10-11 18:36:30.755: 7 avg_reward: 820.5
2024-10-11 18:36:30.755: 7 avg_steps: 365.15
2024-10-11 18:36:30.755: 7 epsilon: 0.1
2024-10-11 18:36:30.755: 7 q: 1.3255905
2024-10-11 18:46:49.886: 8 test start:
2024-10-11 18:46:56.216: 8 avg_reward: 688.0
2024-10-11 18:46:56.216: 8 avg_steps: 329.35
2024-10-11 18:46:56.216: 8 epsilon: 0.1
2024-10-11 18:46:56.216: 8 q: 1.323792
2024-10-11 18:57:20.910: 9 test start:
2024-10-11 18:57:30.006: 9 avg_reward: 1290.5
