2024-10-11 16:47:42.610: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/WizardOfWor-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-WizardOfWor-v5_2024-10-11-16-47-42
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-11 16:47:42.711: env id: ALE/WizardOfWor-v5 |repeat_action_probability: 0 
2024-10-11 16:47:42.711: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 10
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-11 16:47:42.979: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-11 16:56:58.910: 1 test start:
2024-10-11 16:57:11.522: 1 avg_reward: 247.0
2024-10-11 16:57:11.523: 1 avg_steps: 685.4
2024-10-11 16:57:11.523: 1 epsilon: 0.8187841
2024-10-11 16:57:11.523: 1 q: 0.0695975
2024-10-11 17:07:36.183: 2 test start:
2024-10-11 17:07:48.590: 2 avg_reward: 177.0
2024-10-11 17:07:48.590: 2 avg_steps: 645.15
2024-10-11 17:07:48.590: 2 epsilon: 0.5945662
2024-10-11 17:07:48.590: 2 q: 0.10103788
2024-10-11 17:17:39.454: 3 test start:
2024-10-11 17:17:53.486: 3 avg_reward: 197.0
2024-10-11 17:17:53.486: 3 avg_steps: 733.05
2024-10-11 17:17:53.486: 3 epsilon: 0.3698136999999999
2024-10-11 17:17:53.486: 3 q: 0.16790093
2024-10-11 18:05:55.665: 4 test start:
2024-10-11 18:06:14.636: 4 avg_reward: 362.0
2024-10-11 18:06:14.636: 4 avg_steps: 997.5
2024-10-11 18:06:14.636: 4 epsilon: 0.14489829999999992
2024-10-11 18:06:14.636: 4 q: 0.18597333
2024-10-11 18:16:45.607: 5 test start:
2024-10-11 18:16:52.989: 5 avg_reward: 47.0
2024-10-11 18:16:52.989: 5 avg_steps: 394.6
2024-10-11 18:16:52.989: 5 epsilon: 0.1
2024-10-11 18:16:52.989: 5 q: 0.22794443
2024-10-11 18:27:23.374: 6 test start:
2024-10-11 18:27:35.567: 6 avg_reward: 137.0
2024-10-11 18:27:35.568: 6 avg_steps: 647.05
2024-10-11 18:27:35.568: 6 epsilon: 0.1
2024-10-11 18:27:35.568: 6 q: 0.26748657
2024-10-11 18:38:02.463: 7 test start:
2024-10-11 18:38:09.838: 7 avg_reward: 57.0
2024-10-11 18:38:09.838: 7 avg_steps: 382.55
2024-10-11 18:38:09.838: 7 epsilon: 0.1
2024-10-11 18:38:09.838: 7 q: 0.2855083
2024-10-11 18:48:39.472: 8 test start:
2024-10-11 18:48:48.502: 8 avg_reward: 87.0
2024-10-11 18:48:48.502: 8 avg_steps: 455.1
2024-10-11 18:48:48.502: 8 epsilon: 0.1
2024-10-11 18:48:48.502: 8 q: 0.28856587
2024-10-11 18:59:16.556: 9 test start:
2024-10-11 18:59:31.105: 9 avg_reward: 187.0
