2024-10-16 11:17:34.745: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/DoubleDunk-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-DoubleDunk-v5_2024-10-16-11-17-34
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-16 11:17:34.810: env id: ALE/DoubleDunk-v5 |repeat_action_probability: 0 
2024-10-16 11:17:34.810: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-16 11:17:34.828: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-16 11:27:14.847: 1 test start:
2024-10-16 11:28:06.859: 1 avg_reward: -21.1
2024-10-16 11:28:06.859: 1 avg_steps: 2593.8
2024-10-16 11:28:06.860: 1 epsilon: 0.8182891
2024-10-16 11:28:06.860: 1 q: 0.04732022
2024-10-16 11:38:40.372: 2 test start:
2024-10-16 11:39:27.516: 2 avg_reward: -24.0
2024-10-16 11:39:27.516: 2 avg_steps: 2346.05
2024-10-16 11:39:27.516: 2 epsilon: 0.5946138999999999
2024-10-16 11:39:27.516: 2 q: 0.16085619
2024-10-16 11:50:06.293: 3 test start:
2024-10-16 11:51:10.211: 3 avg_reward: -23.4
2024-10-16 11:51:10.211: 3 avg_steps: 3240.35
2024-10-16 11:51:10.211: 3 epsilon: 0.3683341
2024-10-16 11:51:10.211: 3 q: 0.20471963
2024-10-16 12:01:41.066: 4 test start:
2024-10-16 12:02:24.538: 4 avg_reward: -19.7
2024-10-16 12:02:24.539: 4 avg_steps: 2177.95
2024-10-16 12:02:24.539: 4 epsilon: 0.14346639999999988
2024-10-16 12:02:24.539: 4 q: 0.20994739
2024-10-16 12:13:00.111: 5 test start:
2024-10-16 12:13:41.248: 5 avg_reward: -20.4
2024-10-16 12:13:41.248: 5 avg_steps: 2056.8
2024-10-16 12:13:41.248: 5 epsilon: 0.1
2024-10-16 12:13:41.248: 5 q: 0.1927349
2024-10-16 12:24:17.687: 6 test start:
2024-10-16 12:25:13.282: 6 avg_reward: -22.8
2024-10-16 12:25:13.282: 6 avg_steps: 2757.95
2024-10-16 12:25:13.282: 6 epsilon: 0.1
2024-10-16 12:25:13.283: 6 q: 0.17708416
2024-10-16 12:35:50.534: 7 test start:
2024-10-16 12:36:40.963: 7 avg_reward: -21.4
2024-10-16 12:36:40.963: 7 avg_steps: 2499.9
2024-10-16 12:36:40.963: 7 epsilon: 0.1
2024-10-16 12:36:40.963: 7 q: 0.17381209
2024-10-16 12:47:20.196: 8 test start:
2024-10-16 12:48:12.990: 8 avg_reward: -20.8
2024-10-16 12:48:12.990: 8 avg_steps: 2653.05
2024-10-16 12:48:12.990: 8 epsilon: 0.1
2024-10-16 12:48:12.990: 8 q: 0.19544555
2024-10-16 12:58:45.137: 9 test start:
2024-10-16 12:59:39.866: 9 avg_reward: -21.5
