2024-10-13 05:38:36.092: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Kangaroo-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Kangaroo-v5_2024-10-13-05-38-36
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-13 05:38:36.172: env id: ALE/Kangaroo-v5 |repeat_action_probability: 0 
2024-10-13 05:38:36.172: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-13 05:38:36.190: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-13 05:47:49.447: 1 test start:
2024-10-13 05:48:00.043: 1 avg_reward: 408.0
2024-10-13 05:48:00.044: 1 avg_steps: 528.3
2024-10-13 05:48:00.044: 1 epsilon: 0.8196157
2024-10-13 05:48:00.044: 1 q: 0.045504738
2024-10-13 05:57:53.793: 2 test start:
2024-10-13 05:58:01.072: 2 avg_reward: 68.0
2024-10-13 05:58:01.072: 2 avg_steps: 376.45
2024-10-13 05:58:01.072: 2 epsilon: 0.5948263
2024-10-13 05:58:01.072: 2 q: 0.05348495
2024-10-13 06:08:23.492: 3 test start:
2024-10-13 06:08:31.585: 3 avg_reward: 18.0
2024-10-13 06:08:31.585: 3 avg_steps: 400.05
2024-10-13 06:08:31.585: 3 epsilon: 0.3699055
2024-10-13 06:08:31.585: 3 q: 0.081122376
2024-10-13 06:18:04.319: 4 test start:
2024-10-13 06:18:11.810: 4 avg_reward: -2.0
2024-10-13 06:18:11.810: 4 avg_steps: 401.55
2024-10-13 06:18:11.810: 4 epsilon: 0.1448451999999999
2024-10-13 06:18:11.810: 4 q: 0.11098701
2024-10-13 06:28:33.048: 5 test start:
2024-10-13 06:28:39.433: 5 avg_reward: 38.0
2024-10-13 06:28:39.433: 5 avg_steps: 329.7
2024-10-13 06:28:39.433: 5 epsilon: 0.1
2024-10-13 06:28:39.433: 5 q: 0.10543711
2024-10-13 06:38:37.322: 6 test start:
2024-10-13 06:38:44.119: 6 avg_reward: 18.0
2024-10-13 06:38:44.120: 6 avg_steps: 332.9
2024-10-13 06:38:44.120: 6 epsilon: 0.1
2024-10-13 06:38:44.120: 6 q: 0.16328113
2024-10-13 06:49:11.794: 7 test start:
2024-10-13 06:49:21.138: 7 avg_reward: 348.0
2024-10-13 06:49:21.139: 7 avg_steps: 486.35
2024-10-13 06:49:21.139: 7 epsilon: 0.1
2024-10-13 06:49:21.139: 7 q: 0.19539823
2024-10-13 06:59:22.855: 8 test start:
2024-10-13 06:59:30.837: 8 avg_reward: 58.0
2024-10-13 06:59:30.838: 8 avg_steps: 407.7
2024-10-13 06:59:30.838: 8 epsilon: 0.1
2024-10-13 06:59:30.838: 8 q: 0.21860825
2024-10-13 07:09:53.205: 9 test start:
2024-10-13 07:10:00.507: 9 avg_reward: 28.0
