2024-10-14 13:50:59.053: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Asterix-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Asterix-v5_2024-10-14-13-50-59
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-14 13:50:59.119: env id: ALE/Asterix-v5 |repeat_action_probability: 0 
2024-10-14 13:50:59.119: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 9
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-14 13:50:59.135: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-14 13:59:36.964: 1 test start:
2024-10-14 13:59:49.602: 1 avg_reward: 308.0
2024-10-14 13:59:49.602: 1 avg_steps: 676.25
2024-10-14 13:59:49.602: 1 epsilon: 0.8197165
2024-10-14 13:59:49.602: 1 q: 0.13994889
2024-10-14 14:09:33.423: 2 test start:
2024-10-14 14:09:39.077: 2 avg_reward: 285.5
2024-10-14 14:09:39.077: 2 avg_steps: 307.8
2024-10-14 14:09:39.077: 2 epsilon: 0.5949819999999999
2024-10-14 14:09:39.077: 2 q: 0.40074322
2024-10-14 14:19:19.965: 3 test start:
2024-10-14 14:19:25.027: 3 avg_reward: 273.0
2024-10-14 14:19:25.028: 3 avg_steps: 268.8
2024-10-14 14:19:25.028: 3 epsilon: 0.3698235999999999
2024-10-14 14:19:25.028: 3 q: 0.7139362
2024-10-14 14:29:15.305: 4 test start:
2024-10-14 14:29:20.067: 4 avg_reward: 443.0
2024-10-14 14:29:20.067: 4 avg_steps: 264.15
2024-10-14 14:29:20.073: 4 epsilon: 0.14483259999999998
2024-10-14 14:29:20.073: 4 q: 1.0225964
2024-10-14 14:39:00.441: 5 test start:
2024-10-14 14:39:05.330: 5 avg_reward: 420.5
2024-10-14 14:39:05.330: 5 avg_steps: 259.5
2024-10-14 14:39:05.331: 5 epsilon: 0.1
2024-10-14 14:39:05.331: 5 q: 1.0564592
2024-10-14 14:48:56.845: 6 test start:
2024-10-14 14:49:02.399: 6 avg_reward: 603.0
2024-10-14 14:49:02.399: 6 avg_steps: 304.65
2024-10-14 14:49:02.399: 6 epsilon: 0.1
2024-10-14 14:49:02.399: 6 q: 1.1985552
2024-10-14 14:58:45.256: 7 test start:
2024-10-14 14:58:50.231: 7 avg_reward: 483.0
2024-10-14 14:58:50.232: 7 avg_steps: 262.9
2024-10-14 14:58:50.232: 7 epsilon: 0.1
2024-10-14 14:58:50.232: 7 q: 1.4085504
2024-10-14 15:08:37.273: 8 test start:
2024-10-14 15:08:44.895: 8 avg_reward: 903.0
2024-10-14 15:08:44.896: 8 avg_steps: 420.2
2024-10-14 15:08:44.896: 8 epsilon: 0.1
2024-10-14 15:08:44.896: 8 q: 1.5324793
2024-10-14 15:18:33.747: 9 test start:
2024-10-14 15:18:46.117: 9 avg_reward: 1685.5
