2024-10-17 18:40:16.284: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Seaquest-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Seaquest-v5_2024-10-17-18-40-16
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-17 18:40:16.345: env id: ALE/Seaquest-v5 |repeat_action_probability: 0 
2024-10-17 18:40:16.346: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-17 18:40:16.363: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-17 18:49:20.697: 1 test start:
2024-10-17 18:49:35.119: 1 avg_reward: 150.0
2024-10-17 18:49:35.119: 1 avg_steps: 735.75
2024-10-17 18:49:35.120: 1 epsilon: 0.8199793
2024-10-17 18:49:35.120: 1 q: 0.09827283
2024-10-17 18:59:44.040: 2 test start:
2024-10-17 19:00:02.274: 2 avg_reward: 96.0
2024-10-17 19:00:02.274: 2 avg_steps: 964.2
2024-10-17 19:00:02.275: 2 epsilon: 0.5949091
2024-10-17 19:00:02.275: 2 q: 0.20912518
2024-10-17 19:10:05.881: 3 test start:
2024-10-17 19:10:16.620: 3 avg_reward: 11.0
2024-10-17 19:10:16.620: 3 avg_steps: 554.35
2024-10-17 19:10:16.620: 3 epsilon: 0.36980559999999996
2024-10-17 19:10:16.620: 3 q: 0.42888606
2024-10-17 19:20:20.711: 4 test start:
2024-10-17 19:20:35.252: 4 avg_reward: -3.0
2024-10-17 19:20:35.252: 4 avg_steps: 771.15
2024-10-17 19:20:35.252: 4 epsilon: 0.14437719999999998
2024-10-17 19:20:35.252: 4 q: 0.67558277
2024-10-17 19:30:44.667: 5 test start:
2024-10-17 19:31:02.128: 5 avg_reward: 194.0
2024-10-17 19:31:02.129: 5 avg_steps: 886.75
2024-10-17 19:31:02.129: 5 epsilon: 0.1
2024-10-17 19:31:02.129: 5 q: 0.8999117
2024-10-17 19:41:02.711: 6 test start:
2024-10-17 19:41:11.223: 6 avg_reward: 84.0
2024-10-17 19:41:11.223: 6 avg_steps: 443.6
2024-10-17 19:41:11.223: 6 epsilon: 0.1
2024-10-17 19:41:11.223: 6 q: 1.1740148
2024-10-17 19:51:31.803: 7 test start:
2024-10-17 19:51:45.032: 7 avg_reward: 130.0
2024-10-17 19:51:45.033: 7 avg_steps: 687.1
2024-10-17 19:51:45.033: 7 epsilon: 0.1
2024-10-17 19:51:45.033: 7 q: 1.6317031
2024-10-17 20:01:43.419: 8 test start:
2024-10-17 20:02:06.477: 8 avg_reward: 286.0
2024-10-17 20:02:06.477: 8 avg_steps: 1218.5
2024-10-17 20:02:06.478: 8 epsilon: 0.1
2024-10-17 20:02:06.478: 8 q: 1.8927959
2024-10-17 20:12:36.876: 9 test start:
2024-10-17 20:12:48.331: 9 avg_reward: 137.0
