2024-10-14 16:28:27.494: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/SpaceInvaders-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-SpaceInvaders-v5_2024-10-14-16-28-27
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-14 16:28:27.558: env id: ALE/SpaceInvaders-v5 |repeat_action_probability: 0 
2024-10-14 16:28:27.559: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 6
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-14 16:28:27.577: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-14 16:37:33.040: 1 test start:
2024-10-14 16:37:46.349: 1 avg_reward: 239.75
2024-10-14 16:37:46.349: 1 avg_steps: 690.1
2024-10-14 16:37:46.349: 1 epsilon: 0.8198164
2024-10-14 16:37:46.349: 1 q: 0.17263898
2024-10-14 16:47:37.624: 2 test start:
2024-10-14 16:47:52.657: 2 avg_reward: 251.5
2024-10-14 16:47:52.657: 2 avg_steps: 811.1
2024-10-14 16:47:52.657: 2 epsilon: 0.5945427999999999
2024-10-14 16:47:52.658: 2 q: 0.36752307
2024-10-14 16:57:50.023: 3 test start:
2024-10-14 16:58:00.312: 3 avg_reward: 31.0
2024-10-14 16:58:00.312: 3 avg_steps: 535.65
2024-10-14 16:58:00.312: 3 epsilon: 0.369919
2024-10-14 16:58:00.312: 3 q: 0.59916365
2024-10-14 17:07:40.983: 4 test start:
2024-10-14 17:07:48.989: 4 avg_reward: 24.25
2024-10-14 17:07:48.989: 4 avg_steps: 432.1
2024-10-14 17:07:48.989: 4 epsilon: 0.14436189999999993
2024-10-14 17:07:48.989: 4 q: 0.82112765
2024-10-14 17:17:48.803: 5 test start:
2024-10-14 17:17:59.516: 5 avg_reward: 26.25
2024-10-14 17:17:59.517: 5 avg_steps: 555.95
2024-10-14 17:17:59.517: 5 epsilon: 0.1
2024-10-14 17:17:59.517: 5 q: 1.0207187
2024-10-14 17:27:45.484: 6 test start:
2024-10-14 17:27:58.450: 6 avg_reward: 278.5
2024-10-14 17:27:58.450: 6 avg_steps: 676.4
2024-10-14 17:27:58.450: 6 epsilon: 0.1
2024-10-14 17:27:58.450: 6 q: 1.1800044
2024-10-14 17:38:10.639: 7 test start:
2024-10-14 17:38:21.106: 7 avg_reward: 201.8
2024-10-14 17:38:21.106: 7 avg_steps: 555.45
2024-10-14 17:38:21.107: 7 epsilon: 0.1
2024-10-14 17:38:21.107: 7 q: 1.3320355
2024-10-14 17:48:09.636: 8 test start:
2024-10-14 17:48:22.863: 8 avg_reward: 298.25
2024-10-14 17:48:22.864: 8 avg_steps: 705.4
2024-10-14 17:48:22.864: 8 epsilon: 0.1
2024-10-14 17:48:22.864: 8 q: 1.6004646
2024-10-14 17:58:21.872: 9 test start:
2024-10-14 17:58:32.590: 9 avg_reward: 180.75
