2024-10-13 05:52:42.300: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Seaquest-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Seaquest-v5_2024-10-13-05-52-42
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-13 05:52:42.366: env id: ALE/Seaquest-v5 |repeat_action_probability: 0 
2024-10-13 05:52:42.366: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-13 05:52:42.382: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-13 06:01:37.390: 1 test start:
2024-10-13 06:01:48.879: 1 avg_reward: 65.0
2024-10-13 06:01:48.879: 1 avg_steps: 589.95
2024-10-13 06:01:48.879: 1 epsilon: 0.8196139
2024-10-13 06:01:48.879: 1 q: 0.09931857
2024-10-13 06:12:01.579: 2 test start:
2024-10-13 06:20:25.924: 2 avg_reward: -0.8
2024-10-13 06:20:25.924: 2 avg_steps: 26996.6
2024-10-13 06:20:25.925: 2 epsilon: 0.5949685
2024-10-13 06:20:25.925: 2 q: 0.25642484
2024-10-13 06:30:41.726: 3 test start:
2024-10-13 06:30:54.165: 3 avg_reward: 106.0
2024-10-13 06:30:54.165: 3 avg_steps: 663.6
2024-10-13 06:30:54.165: 3 epsilon: 0.3697138
2024-10-13 06:30:54.165: 3 q: 0.48624912
2024-10-13 06:40:51.732: 4 test start:
2024-10-13 06:41:07.664: 4 avg_reward: 192.0
2024-10-13 06:41:07.665: 4 avg_steps: 826.0
2024-10-13 06:41:07.665: 4 epsilon: 0.1449396999999999
2024-10-13 06:41:07.665: 4 q: 0.66323894
2024-10-13 06:51:23.231: 5 test start:
2024-10-13 06:51:40.554: 5 avg_reward: 190.0
2024-10-13 06:51:40.554: 5 avg_steps: 930.3
2024-10-13 06:51:40.554: 5 epsilon: 0.1
2024-10-13 06:51:40.554: 5 q: 0.8882802
2024-10-13 07:01:46.635: 6 test start:
2024-10-13 07:02:02.405: 6 avg_reward: 166.0
2024-10-13 07:02:02.405: 6 avg_steps: 825.6
2024-10-13 07:02:02.406: 6 epsilon: 0.1
2024-10-13 07:02:02.406: 6 q: 1.252951
2024-10-13 07:12:12.090: 7 test start:
2024-10-13 07:12:33.139: 7 avg_reward: 316.0
2024-10-13 07:12:33.139: 7 avg_steps: 1103.65
2024-10-13 07:12:33.139: 7 epsilon: 0.1
2024-10-13 07:12:33.139: 7 q: 1.4768574
2024-10-13 07:22:50.679: 8 test start:
2024-10-13 07:23:01.860: 8 avg_reward: 144.0
2024-10-13 07:23:01.861: 8 avg_steps: 583.35
2024-10-13 07:23:01.861: 8 epsilon: 0.1
2024-10-13 07:23:01.861: 8 q: 1.6918098
2024-10-13 07:32:59.944: 9 test start:
2024-10-13 07:33:16.348: 9 avg_reward: 257.0
