2024-10-13 03:43:10.113: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Asterix-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Asterix-v5_2024-10-13-03-43-10
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-13 03:43:10.178: env id: ALE/Asterix-v5 |repeat_action_probability: 0 
2024-10-13 03:43:10.178: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 9
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-13 03:43:10.195: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-13 03:51:56.809: 1 test start:
2024-10-13 03:52:18.762: 1 avg_reward: 573.0
2024-10-13 03:52:18.762: 1 avg_steps: 1195.35
2024-10-13 03:52:18.762: 1 epsilon: 0.8198515
2024-10-13 03:52:18.768: 1 q: 0.17525125
2024-10-13 04:02:00.910: 2 test start:
2024-10-13 04:02:04.894: 2 avg_reward: 203.0
2024-10-13 04:02:04.894: 2 avg_steps: 218.3
2024-10-13 04:02:04.894: 2 epsilon: 0.5948568999999999
2024-10-13 04:02:04.894: 2 q: 0.46436074
2024-10-13 04:11:57.218: 3 test start:
2024-10-13 04:12:03.714: 3 avg_reward: 303.0
2024-10-13 04:12:03.714: 3 avg_steps: 361.1
2024-10-13 04:12:03.714: 3 epsilon: 0.3699414999999999
2024-10-13 04:12:03.714: 3 q: 0.82336515
2024-10-13 04:21:46.253: 4 test start:
2024-10-13 04:21:51.535: 4 avg_reward: 318.0
2024-10-13 04:21:51.535: 4 avg_steps: 287.95
2024-10-13 04:21:51.535: 4 epsilon: 0.14490729999999996
2024-10-13 04:21:51.535: 4 q: 0.96235543
2024-10-13 04:31:45.272: 5 test start:
2024-10-13 04:31:52.067: 5 avg_reward: 653.0
2024-10-13 04:31:52.067: 5 avg_steps: 359.85
2024-10-13 04:31:52.067: 5 epsilon: 0.1
2024-10-13 04:31:52.067: 5 q: 1.1815842
2024-10-13 04:41:30.581: 6 test start:
2024-10-13 04:41:37.204: 6 avg_reward: 770.5
2024-10-13 04:41:37.204: 6 avg_steps: 360.75
2024-10-13 04:41:37.209: 6 epsilon: 0.1
2024-10-13 04:41:37.210: 6 q: 1.2508829
2024-10-13 04:51:31.233: 7 test start:
2024-10-13 04:51:37.739: 7 avg_reward: 725.5
2024-10-13 04:51:37.740: 7 avg_steps: 347.35
2024-10-13 04:51:37.740: 7 epsilon: 0.1
2024-10-13 04:51:37.740: 7 q: 1.263167
2024-10-13 05:01:16.027: 8 test start:
2024-10-13 05:01:23.201: 8 avg_reward: 998.0
2024-10-13 05:01:23.201: 8 avg_steps: 394.6
2024-10-13 05:01:23.201: 8 epsilon: 0.1
2024-10-13 05:01:23.201: 8 q: 1.4353038
2024-10-13 05:11:11.753: 9 test start:
2024-10-13 05:11:21.453: 9 avg_reward: 1278.0
