2024-10-18 08:58:49.384: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Atlantis-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Atlantis-v5_2024-10-18-08-58-49
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-18 08:58:49.450: env id: ALE/Atlantis-v5 |repeat_action_probability: 0 
2024-10-18 08:58:49.450: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 4
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-18 08:58:49.464: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-18 09:08:09.187: 1 test start:
2024-10-18 09:08:20.422: 1 avg_reward: 3609.0
2024-10-18 09:08:20.423: 1 avg_steps: 597.45
2024-10-18 09:08:20.423: 1 epsilon: 0.8199415
2024-10-18 09:08:20.423: 1 q: 0.15011223
2024-10-18 09:18:43.678: 2 test start:
2024-10-18 09:18:54.613: 2 avg_reward: 2724.0
2024-10-18 09:18:54.613: 2 avg_steps: 565.0
2024-10-18 09:18:54.613: 2 epsilon: 0.5948001999999999
2024-10-18 09:18:54.613: 2 q: 0.3162504
2024-10-18 09:29:15.260: 3 test start:
2024-10-18 09:29:26.236: 3 avg_reward: 2844.0
2024-10-18 09:29:26.237: 3 avg_steps: 559.35
2024-10-18 09:29:26.242: 3 epsilon: 0.36993069999999995
2024-10-18 09:29:26.242: 3 q: 0.44710767
2024-10-18 09:39:51.549: 4 test start:
2024-10-18 09:40:06.910: 4 avg_reward: 6469.0
2024-10-18 09:40:06.911: 4 avg_steps: 837.3
2024-10-18 09:40:06.911: 4 epsilon: 0.14488479999999992
2024-10-18 09:40:06.911: 4 q: 0.5170775
2024-10-18 09:50:32.685: 5 test start:
2024-10-18 09:50:46.080: 5 avg_reward: 4774.0
2024-10-18 09:50:46.081: 5 avg_steps: 687.5
2024-10-18 09:50:46.081: 5 epsilon: 0.1
2024-10-18 09:50:46.081: 5 q: 0.6307171
2024-10-18 10:01:06.516: 6 test start:
2024-10-18 10:01:16.644: 6 avg_reward: 3474.0
2024-10-18 10:01:16.644: 6 avg_steps: 529.8
2024-10-18 10:01:16.644: 6 epsilon: 0.1
2024-10-18 10:01:16.644: 6 q: 0.7423735
2024-10-18 10:11:38.341: 7 test start:
2024-10-18 10:12:01.415: 7 avg_reward: 15409.0
2024-10-18 10:12:01.415: 7 avg_steps: 1185.8
2024-10-18 10:12:01.415: 7 epsilon: 0.1
2024-10-18 10:12:01.416: 7 q: 0.8527825
2024-10-18 10:22:27.932: 8 test start:
2024-10-18 10:22:43.472: 8 avg_reward: 7144.0
2024-10-18 10:22:43.472: 8 avg_steps: 785.7
2024-10-18 10:22:43.472: 8 epsilon: 0.1
2024-10-18 10:22:43.472: 8 q: 0.88257295
2024-10-18 10:33:10.254: 9 test start:
2024-10-18 10:33:21.123: 9 avg_reward: 2624.0
