2024-10-18 01:08:42.746: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/DoubleDunk-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-DoubleDunk-v5_2024-10-18-01-08-42
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-18 01:08:42.809: env id: ALE/DoubleDunk-v5 |repeat_action_probability: 0 
2024-10-18 01:08:42.809: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-18 01:08:42.824: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-18 01:17:54.965: 1 test start:
2024-10-18 01:18:40.251: 1 avg_reward: -22.2
2024-10-18 01:18:40.251: 1 avg_steps: 2280.25
2024-10-18 01:18:40.251: 1 epsilon: 0.8193835
2024-10-18 01:18:40.251: 1 q: 0.05331499
2024-10-18 01:29:02.365: 2 test start:
2024-10-18 01:29:47.678: 2 avg_reward: -23.8
2024-10-18 01:29:47.678: 2 avg_steps: 2363.95
2024-10-18 01:29:47.678: 2 epsilon: 0.5943718
2024-10-18 01:29:47.678: 2 q: 0.13123153
2024-10-18 01:40:01.699: 3 test start:
2024-10-18 01:40:45.490: 3 avg_reward: -23.4
2024-10-18 01:40:45.490: 3 avg_steps: 2198.85
2024-10-18 01:40:45.491: 3 epsilon: 0.3687516999999999
2024-10-18 01:40:45.491: 3 q: 0.1751995
2024-10-18 01:50:54.837: 4 test start:
2024-10-18 01:51:29.303: 4 avg_reward: -21.9
2024-10-18 01:51:29.303: 4 avg_steps: 1806.55
2024-10-18 01:51:29.303: 4 epsilon: 0.14366619999999997
2024-10-18 01:51:29.304: 4 q: 0.21405967
2024-10-18 02:01:51.794: 5 test start:
2024-10-18 02:02:45.700: 5 avg_reward: -20.7
2024-10-18 02:02:45.700: 5 avg_steps: 2711.85
2024-10-18 02:02:45.701: 5 epsilon: 0.1
2024-10-18 02:02:45.701: 5 q: 0.22993585
2024-10-18 02:12:47.561: 6 test start:
2024-10-18 02:13:31.109: 6 avg_reward: -21.7
2024-10-18 02:13:31.109: 6 avg_steps: 2188.85
2024-10-18 02:13:31.109: 6 epsilon: 0.1
2024-10-18 02:13:31.109: 6 q: 0.23336041
2024-10-18 02:24:12.069: 7 test start:
2024-10-18 02:25:03.159: 7 avg_reward: -19.9
2024-10-18 02:25:03.159: 7 avg_steps: 2633.95
2024-10-18 02:25:03.159: 7 epsilon: 0.1
2024-10-18 02:25:03.159: 7 q: 0.24644516
2024-10-18 02:35:02.583: 8 test start:
2024-10-18 02:35:44.954: 8 avg_reward: -21.4
2024-10-18 02:35:44.954: 8 avg_steps: 2112.45
2024-10-18 02:35:44.954: 8 epsilon: 0.1
2024-10-18 02:35:44.954: 8 q: 0.2635621
2024-10-18 02:46:13.806: 9 test start:
2024-10-18 02:47:03.903: 9 avg_reward: -21.5
