2024-10-17 10:02:12.395: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Asterix-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Asterix-v5_2024-10-17-10-02-12
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-17 10:02:12.457: env id: ALE/Asterix-v5 |repeat_action_probability: 0 
2024-10-17 10:02:12.457: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 9
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-17 10:02:12.475: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-17 10:11:10.605: 1 test start:
2024-10-17 10:11:20.719: 1 avg_reward: 215.5
2024-10-17 10:11:20.719: 1 avg_steps: 546.8
2024-10-17 10:11:20.719: 1 epsilon: 0.8197831
2024-10-17 10:11:20.719: 1 q: 0.16312549
2024-10-17 10:20:51.065: 2 test start:
2024-10-17 10:21:01.125: 2 avg_reward: 275.5
2024-10-17 10:21:01.125: 2 avg_steps: 542.95
2024-10-17 10:21:01.125: 2 epsilon: 0.5947435
2024-10-17 10:21:01.125: 2 q: 0.42837232
2024-10-17 10:31:08.307: 3 test start:
2024-10-17 10:31:13.279: 3 avg_reward: 238.0
2024-10-17 10:31:13.280: 3 avg_steps: 269.2
2024-10-17 10:31:13.280: 3 epsilon: 0.36996759999999995
2024-10-17 10:31:13.280: 3 q: 0.6170223
2024-10-17 10:40:43.704: 4 test start:
2024-10-17 10:40:48.879: 4 avg_reward: 408.0
2024-10-17 10:40:48.879: 4 avg_steps: 275.55
2024-10-17 10:40:48.879: 4 epsilon: 0.14495859999999994
2024-10-17 10:40:48.879: 4 q: 0.77939194
2024-10-17 10:50:57.512: 5 test start:
2024-10-17 10:51:02.455: 5 avg_reward: 495.5
2024-10-17 10:51:02.456: 5 avg_steps: 268.75
2024-10-17 10:51:02.456: 5 epsilon: 0.1
2024-10-17 10:51:02.456: 5 q: 1.0085269
2024-10-17 11:00:40.253: 6 test start:
2024-10-17 11:00:45.974: 6 avg_reward: 523.0
2024-10-17 11:00:45.974: 6 avg_steps: 296.75
2024-10-17 11:00:45.974: 6 epsilon: 0.1
2024-10-17 11:00:45.974: 6 q: 1.211677
2024-10-17 11:10:57.956: 7 test start:
2024-10-17 11:11:05.588: 7 avg_reward: 938.0
2024-10-17 11:11:05.588: 7 avg_steps: 425.75
2024-10-17 11:11:05.588: 7 epsilon: 0.1
2024-10-17 11:11:05.588: 7 q: 1.3374138
2024-10-17 11:20:42.359: 8 test start:
2024-10-17 11:20:48.921: 8 avg_reward: 805.5
2024-10-17 11:20:48.922: 8 avg_steps: 343.95
2024-10-17 11:20:48.927: 8 epsilon: 0.1
2024-10-17 11:20:48.927: 8 q: 1.5830564
2024-10-17 11:30:55.855: 9 test start:
2024-10-17 11:31:03.938: 9 avg_reward: 1208.0
