2024-10-14 18:18:50.616: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Seaquest-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Seaquest-v5_2024-10-14-18-18-50
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-14 18:18:50.677: env id: ALE/Seaquest-v5 |repeat_action_probability: 0 
2024-10-14 18:18:50.678: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-14 18:18:50.694: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-14 18:27:44.589: 1 test start:
2024-10-14 18:27:56.956: 1 avg_reward: 97.0
2024-10-14 18:27:56.956: 1 avg_steps: 667.4
2024-10-14 18:27:56.956: 1 epsilon: 0.8195878
2024-10-14 18:27:56.956: 1 q: 0.11352975
2024-10-14 18:38:00.616: 2 test start:
2024-10-14 18:38:23.297: 2 avg_reward: 39.0
2024-10-14 18:38:23.297: 2 avg_steps: 1257.5
2024-10-14 18:38:23.297: 2 epsilon: 0.5944555
2024-10-14 18:38:23.297: 2 q: 0.24348477
2024-10-14 18:48:17.177: 3 test start:
2024-10-14 18:48:27.446: 3 avg_reward: 79.0
2024-10-14 18:48:27.447: 3 avg_steps: 537.15
2024-10-14 18:48:27.447: 3 epsilon: 0.3698307999999999
2024-10-14 18:48:27.447: 3 q: 0.43177342
2024-10-14 18:58:24.113: 4 test start:
2024-10-14 18:58:41.809: 4 avg_reward: 215.0
2024-10-14 18:58:41.809: 4 avg_steps: 957.35
2024-10-14 18:58:41.809: 4 epsilon: 0.14470839999999996
2024-10-14 18:58:41.809: 4 q: 0.7318669
2024-10-14 19:08:42.869: 5 test start:
2024-10-14 19:08:58.272: 5 avg_reward: 211.0
2024-10-14 19:08:58.272: 5 avg_steps: 797.95
2024-10-14 19:08:58.272: 5 epsilon: 0.1
2024-10-14 19:08:58.272: 5 q: 0.9787678
2024-10-14 19:18:53.607: 6 test start:
2024-10-14 19:19:17.006: 6 avg_reward: 393.0
2024-10-14 19:19:17.007: 6 avg_steps: 1266.5
2024-10-14 19:19:17.007: 6 epsilon: 0.1
2024-10-14 19:19:17.007: 6 q: 1.2099917
2024-10-14 19:29:36.179: 7 test start:
2024-10-14 19:29:53.749: 7 avg_reward: 237.0
2024-10-14 19:29:53.749: 7 avg_steps: 887.0
2024-10-14 19:29:53.749: 7 epsilon: 0.1
2024-10-14 19:29:53.749: 7 q: 1.545061
2024-10-14 19:39:43.676: 8 test start:
2024-10-14 19:40:03.414: 8 avg_reward: 318.0
2024-10-14 19:40:03.414: 8 avg_steps: 1049.0
2024-10-14 19:40:03.414: 8 epsilon: 0.1
2024-10-14 19:40:03.415: 8 q: 1.8641709
2024-10-14 19:50:22.584: 9 test start:
2024-10-14 19:50:37.283: 9 avg_reward: 165.0
