2024-10-13 19:43:09.838: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Atlantis-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Atlantis-v5_2024-10-13-19-43-09
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-13 19:43:09.903: env id: ALE/Atlantis-v5 |repeat_action_probability: 0 
2024-10-13 19:43:09.904: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 4
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-13 19:43:09.920: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-13 19:52:30.386: 1 test start:
2024-10-13 19:52:40.639: 1 avg_reward: 2649.0
2024-10-13 19:52:40.639: 1 avg_steps: 535.8
2024-10-13 19:52:40.639: 1 epsilon: 0.8196661
2024-10-13 19:52:40.639: 1 q: 0.1789097
2024-10-13 20:03:01.590: 2 test start:
2024-10-13 20:03:16.564: 2 avg_reward: 6434.0
2024-10-13 20:03:16.565: 2 avg_steps: 769.5
2024-10-13 20:03:16.565: 2 epsilon: 0.5946175
2024-10-13 20:03:16.565: 2 q: 0.3546854
2024-10-13 20:13:39.435: 3 test start:
2024-10-13 20:13:48.533: 3 avg_reward: 1964.0
2024-10-13 20:13:48.533: 3 avg_steps: 450.15
2024-10-13 20:13:48.533: 3 epsilon: 0.36994689999999997
2024-10-13 20:13:48.533: 3 q: 0.540841
2024-10-13 20:24:06.101: 4 test start:
2024-10-13 20:24:16.820: 4 avg_reward: 2794.0
2024-10-13 20:24:16.820: 4 avg_steps: 549.3
2024-10-13 20:24:16.820: 4 epsilon: 0.14499639999999991
2024-10-13 20:24:16.820: 4 q: 0.6871965
2024-10-13 20:34:33.948: 5 test start:
2024-10-13 20:34:57.145: 5 avg_reward: 16174.0
2024-10-13 20:34:57.145: 5 avg_steps: 1197.9
2024-10-13 20:34:57.145: 5 epsilon: 0.1
2024-10-13 20:34:57.145: 5 q: 0.806639
2024-10-13 20:45:14.541: 6 test start:
2024-10-13 20:45:42.867: 6 avg_reward: 20924.0
2024-10-13 20:45:42.867: 6 avg_steps: 1457.0
2024-10-13 20:45:42.867: 6 epsilon: 0.1
2024-10-13 20:45:42.867: 6 q: 0.9960292
2024-10-13 20:56:03.426: 7 test start:
2024-10-13 20:56:17.211: 7 avg_reward: 6479.0
2024-10-13 20:56:17.211: 7 avg_steps: 712.65
2024-10-13 20:56:17.211: 7 epsilon: 0.1
2024-10-13 20:56:17.211: 7 q: 1.0862197
2024-10-13 21:06:38.668: 8 test start:
2024-10-13 21:06:54.488: 8 avg_reward: 7039.0
2024-10-13 21:06:54.489: 8 avg_steps: 813.4
2024-10-13 21:06:54.489: 8 epsilon: 0.1
2024-10-13 21:06:54.489: 8 q: 1.1829042
2024-10-13 21:17:22.108: 9 test start:
2024-10-13 21:17:32.966: 9 avg_reward: 2689.0
