2024-10-14 17:16:21.027: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Kangaroo-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Kangaroo-v5_2024-10-14-17-16-21
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-14 17:16:21.087: env id: ALE/Kangaroo-v5 |repeat_action_probability: 0 
2024-10-14 17:16:21.087: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-14 17:16:21.103: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-14 17:25:16.918: 1 test start:
2024-10-14 17:25:23.112: 1 avg_reward: -2.0
2024-10-14 17:25:23.112: 1 avg_steps: 338.3
2024-10-14 17:25:23.112: 1 epsilon: 0.8198947
2024-10-14 17:25:23.112: 1 q: 0.041994743
2024-10-14 17:35:40.370: 2 test start:
2024-10-14 17:35:47.262: 2 avg_reward: 8.0
2024-10-14 17:35:47.262: 2 avg_steps: 350.65
2024-10-14 17:35:47.262: 2 epsilon: 0.5946697
2024-10-14 17:35:47.263: 2 q: 0.05898633
2024-10-14 17:45:31.771: 3 test start:
2024-10-14 17:45:36.916: 3 avg_reward: -2.0
2024-10-14 17:45:36.916: 3 avg_steps: 271.95
2024-10-14 17:45:36.916: 3 epsilon: 0.36992349999999996
2024-10-14 17:45:36.916: 3 q: 0.10544548
2024-10-14 17:55:50.421: 4 test start:
2024-10-14 17:56:01.510: 4 avg_reward: -2.0
2024-10-14 17:56:01.510: 4 avg_steps: 564.75
2024-10-14 17:56:01.510: 4 epsilon: 0.14459319999999998
2024-10-14 17:56:01.511: 4 q: 0.1060944
2024-10-14 18:05:49.147: 5 test start:
2024-10-14 18:05:59.574: 5 avg_reward: 8.0
2024-10-14 18:05:59.574: 5 avg_steps: 536.05
2024-10-14 18:05:59.574: 5 epsilon: 0.1
2024-10-14 18:05:59.574: 5 q: 0.10458547
2024-10-14 18:16:23.467: 6 test start:
2024-10-14 18:16:33.059: 6 avg_reward: 328.0
2024-10-14 18:16:33.060: 6 avg_steps: 496.5
2024-10-14 18:16:33.060: 6 epsilon: 0.1
2024-10-14 18:16:33.060: 6 q: 0.15991098
2024-10-14 18:26:19.121: 7 test start:
2024-10-14 18:26:29.780: 7 avg_reward: 298.0
2024-10-14 18:26:29.781: 7 avg_steps: 530.35
2024-10-14 18:26:29.781: 7 epsilon: 0.1
2024-10-14 18:26:29.781: 7 q: 0.15174511
2024-10-14 18:36:48.315: 8 test start:
2024-10-14 18:36:57.762: 8 avg_reward: 388.0
2024-10-14 18:36:57.762: 8 avg_steps: 490.2
2024-10-14 18:36:57.762: 8 epsilon: 0.1
2024-10-14 18:36:57.762: 8 q: 0.16234079
2024-10-14 18:46:57.771: 9 test start:
2024-10-14 18:47:08.921: 9 avg_reward: 478.0
